paragraph,punctuation,cluster
民的个人信息权益，或者危害中华人民共和国国家安全、公共利,，、,8
益的个人信息处理活动的，国家网信部门可以将其列入限制或者,，,5
禁止个人信息提供清单，予以公告，并采取限制或者禁止向其提,，，,11
供个人信息等措施。,。,1
第四十三条,,6
任何国家或者地区在个人信息保护方面对中,,0
华人民共和国采取歧视性的禁止、限制或者其他类似措施的，中,、，,2
华人民共和国可以根据实际情况对该国家或者地区对等采取措,,0
施。,。,1
第四章,,6
个人在个人信息处理活动中的权利,,0
第四十四条,,6
个人对其个人信息的处理享有知情权、决定,、,4
权，有权限制或者拒绝他人对其个人信息进行处理；法律、行政,，；、,3
法规另有规定的除外。,。,1
第四十五条,,6
个人有权向个人信息处理者查阅、复制其个人,、,4
信息；有本法第十八条第一款、第三十五条规定情形的除外。,；、。,2
个人请求查阅、复制其个人信息的，个人信息处理者应当及,、，,2
时提供。,。,1
个人请求将个人信息转移至其指定的个人信息处理者，符合,，,5
国家网信部门规定条件的，个人信息处理者应当提供转移的途,，,5
径。,。,1
— 11 —,—  —,10
第四十六条,,6
个人发现其个人信息不准确或者不完整的，有,，,5
权请求个人信息处理者更正、补充。,、。,2
个人请求更正、补充其个人信息的，个人信息处理者应当对,、，,2
其个人信息予以核实，并及时更正、补充。,，、。,2
第四十七条,,6
有下列情形之一的，个人信息处理者应当主动,，,5
删除个人信息；个人信息处理者未删除的，个人有权请求删除：,；，：,11
（一）处理目的已实现、无法实现或者为实现处理目的不再,（）、,7
必要；,；,0
（二）个人信息处理者停止提供产品或者服务，或者保存期,（），,3
限已届满；,；,0
（三）个人撤回同意；,（）；,3
（四）个人信息处理者违反法律、行政法规或者违反约定处,（）、,7
理个人信息；,；,0
（五）法律、行政法规规定的其他情形。,（）、。,2
法律、行政法规规定的保存期限未届满，或者删除个人信息,、，,2
从技术上难以实现的，个人信息处理者应当停止除存储和采取必,，,5
要的安全保护措施之外的处理。,。,1
第四十八条,,6
个人有权要求个人信息处理者对其个人信息,,0
处理规则进行解释说明。,。,1
第四十九条,,6
自然人死亡的，其近亲属为了自身的合法、正,，、,8
当利益，可以对死者的相关个人信息行使本章规定的查阅、复制、,，、、,7
更正、删除等权利；死者生前另有安排的除外。,、；。,2
第五十条,,6
个人信息处理者应当建立便捷的个人行使权利,,0
的申请受理和处理机制。拒绝个人行使权利的请求的，应当说明,。，,3
理由。,。,1
— 12 —,—  —,10
个人信息处理者拒绝个人行使权利的请求的，个人可以依法,，,5
向人民法院提起诉讼。,。,1
第五章,,6
个人信息处理者的义务,,0
第五十一条,,6
个人信息处理者应当根据个人信息的处理目,,0
的、处理方式、个人信息的种类以及对个人权益的影响、可能存,、、、,7
在的安全风险等，采取下列措施确保个人信息处理活动符合法,，,5
律、行政法规的规定，并防止未经授权的访问以及个人信息泄露、,、，、,7
篡改、丢失：,、：,1
（一）制定内部管理制度和操作规程；,（）；,3
（二）对个人信息实行分类管理；,（）；,3
（三）采取相应的加密、去标识化等安全技术措施；,（）、；,2
（四）合理确定个人信息处理的操作权限，并定期对从业人,（），,3
员进行安全教育和培训；,；,0
（五）制定并组织实施个人信息安全事件应急预案；,（）；,3
（六）法律、行政法规规定的其他措施。,（）、。,2
第五十二条,,6
处理个人信息达到国家网信部门规定数量的,,0
个人信息处理者应当指定个人信息保护负责人，负责对个人信息,，,5
处理活动以及采取的保护措施等进行监督。,。,1
个人信息处理者应当公开个人信息保护负责人的联系方式，,，,5
并将个人信息保护负责人的姓名、联系方式等报送履行个人信息,、,4
保护职责的部门。,。,1
第五十三条,,6
本法第三条第二款规定的中华人民共和国境,,0
外的个人信息处理者，应当在中华人民共和国境内设立专门机构,，,5
— 13 —,—  —,10
或者指定代表，负责处理个人信息保护相关事务，并将有关机构,，，,11
的名称或者代表的姓名、联系方式等报送履行个人信息保护职责,、,4
的部门。,。,1
第五十四条,,6
个人信息处理者应当定期对其处理个人信息,,0
遵守法律、行政法规的情况进行合规审计。,、。,2
第五十五条,,6
有下列情形之一的，个人信息处理者应当事前,，,5
进行个人信息保护影响评估，并对处理情况进行记录：,，：,11
（一）处理敏感个人信息；,（）；,3
（二）利用个人信息进行自动化决策；,（）；,3
（三）委托处理个人信息、向其他个人信息处理者提供个人,（）、,7
信息、公开个人信息；,、；,2
（四）向境外提供个人信息；,（）；,3
（五）其他对个人权益有重大影响的个人信息处理活动。,（）。,8
第五十六条,,6
个人信息保护影响评估应当包括下列内容：,：,3
（一）个人信息的处理目的、处理方式等是否合法、正当、,（）、、、,7
必要；,；,0
（二）对个人权益的影响及安全风险；,（）；,3
（三）所采取的保护措施是否合法、有效并与风险程度相适,（）、,7
应。,。,1
个人信息保护影响评估报告和处理情况记录应当至少保存,,0
三年。,。,1
第五十七条,,6
发生或者可能发生个人信息泄露、篡改、丢失,、、,7
的，个人信息处理者应当立即采取补救措施，并通知履行个人信,，，,11
息保护职责的部门和个人。通知应当包括下列事项：,。：,8
— 14 —,—  —,10
（一）发生或者可能发生个人信息泄露、篡改、丢失的信息,（）、、,7
种类、原因和可能造成的危害；,、；,2
（二）个人信息处理者采取的补救措施和个人可以采取的减,（）,9
轻危害的措施；,；,0
（三）个人信息处理者的联系方式。,（）。,8
个人信息处理者采取措施能够有效避免信息泄露、篡改、丢,、、,7
失造成危害的，个人信息处理者可以不通知个人；履行个人信息,，；,3
保护职责的部门认为可能造成危害的，有权要求个人信息处理者,，,5
通知个人。,。,1
第五十八条,,6
提供重要互联网平台服务、用户数量巨大、业,、、,7
务类型复杂的个人信息处理者，应当履行下列义务：,，：,11
（一）按照国家规定建立健全个人信息保护合规制度体系，,（），,3
成立主要由外部成员组成的独立机构对个人信息保护情况进行,,0
监督；,；,0
（二）遵循公开、公平、公正的原则，制定平台规则，明确,（）、、，，,3
平台内产品或者服务提供者处理个人信息的规范和保护个人信,,0
息的义务；,；,0
（三）对严重违反法律、行政法规处理个人信息的平台内的,（）、,7
产品或者服务提供者，停止提供服务；,，；,3
（四）定期发布个人信息保护社会责任报告，接受社会监督。,（），。,2
第五十九条,,6
接受委托处理个人信息的受托人，应当依照本,，,5
法和有关法律、行政法规的规定，采取必要措施保障所处理的个,、，,2
人信息的安全，并协助个人信息处理者履行本法规定的义务。,，。,8
— 15 —,—  —,10
第六章,,6
履行个人信息保护职责的部门,,0
第六十条,,6
国家网信部门负责统筹协调个人信息保护工作,,0
和相关监督管理工作。国务院有关部门依照本法和有关法律、行,。、,4
政法规的规定，在各自职责范围内负责个人信息保护和监督管理,，,5
工作。,。,1
县级以上地方人民政府有关部门的个人信息保护和监督管,,0
理职责，按照国家有关规定确定。,，。,8
前两款规定的部门统称为履行个人信息保护职责的部门。,。,1
第六十一条,,6
履行个人信息保护职责的部门履行下列个人,,0
信息保护职责：,：,3
（一）开展个人信息保护宣传教育，指导、监督个人信息处,（），、,3
理者开展个人信息保护工作；,；,0
（二）接受、处理与个人信息保护有关的投诉、举报；,（）、、；,3
（三）组织对应用程序等个人信息保护情况进行测评，并公,（），,3
布测评结果；,；,0
（四）调查、处理违法个人信息处理活动；,（）、；,2
（五）法律、行政法规规定的其他职责。,（）、。,2
第六十二条,,6
国家网信部门统筹协调有关部门依据本法推,,0
进下列个人信息保护工作：,：,3
（一）制定个人信息保护具体规则、标准；,（）、；,3
（二）针对小型个人信息处理者、处理敏感个人信息以及人,（）、,7
脸识别、人工智能等新技术、新应用，制定专门的个人信息保护,、、，,2
规则、标准；,、；,2
— 16 —,—  —,10
（三）支持研究开发和推广应用安全、方便的电子身份认证,（）、,7
技术，推进网络身份认证公共服务建设；,，；,3
（四）推进个人信息保护社会化服务体系建设，支持有关机,（），,3
构开展个人信息保护评估、认证服务；,、；,2
（五）完善个人信息保护投诉、举报工作机制。,（）、。,2
第六十三条,,6
履行个人信息保护职责的部门履行个人信息,,0
保护职责，可以采取下列措施：,，：,11
（一）询问有关当事人，调查与个人信息处理活动有关的情,（），,3
况;,;,0
（二）查阅、复制当事人与个人信息处理活动有关的合同、,（）、、,7
记录、账簿以及其他有关资料;,、;,2
（三）实施现场检查，对涉嫌违法的个人信息处理活动进行,（），,3
调查;,;,0
（四）检查与个人信息处理活动有关的设备、物品;对有证,（）、;,2
据证明是用于违法个人信息处理活动的设备、物品，向本部门主,、，,2
要负责人书面报告并经批准，可以查封或者扣押。,，。,8
履行个人信息保护职责的部门依法履行职责，当事人应当予,，,5
以协助、配合，不得拒绝、阻挠。,、，、。,2
第六十四条,,6
履行个人信息保护职责的部门在履行职责中，,，,5
发现个人信息处理活动存在较大风险或者发生个人信息安全事,,0
件的，可以按照规定的权限和程序对该个人信息处理者的法定代,，,5
表人或者主要负责人进行约谈，或者要求个人信息处理者委托专,，,5
业机构对其个人信息处理活动进行合规审计。个人信息处理者应,。,1
当按照要求采取措施，进行整改，消除隐患。,，，。,8
— 17 —,—  —,10
履行个人信息保护职责的部门在履行职责中，发现违法处理,，,5
个人信息涉嫌犯罪的，应当及时移送公安机关依法处理。,，。,8
第六十五条,,6
任何组织、个人有权对违法个人信息处理活动,、,4
向履行个人信息保护职责的部门进行投诉、举报。收到投诉、举,、。、,7
报的部门应当依法及时处理，并将处理结果告知投诉、举报人。,，、。,2
履行个人信息保护职责的部门应当公布接受投诉、举报的联,、,4
系方式。,。,1
第七章,,6
法律责任,,6
第六十六条,,6
违反本法规定处理个人信息，或者处理个人信,，,5
息未履行本法规定的个人信息保护义务的，由履行个人信息保护,，,5
职责的部门责令改正，给予警告，没收违法所得，对违法处理个,，，，,5
人信息的应用程序，责令暂停或者终止提供服务；拒不改正的，,，；，,11
并处一百万元以下罚款；对直接负责的主管人员和其他直接责任,；,0
人员处一万元以上十万元以下罚款。,。,1
有前款规定的违法行为，情节严重的，由省级以上履行个人,，，,11
信息保护职责的部门责令改正，没收违法所得，并处五千万元以,，，,11
下或者上一年度营业额百分之五以下罚款，并可以责令暂停相关,，,5
业务或者停业整顿、通报有关主管部门吊销相关业务许可或者吊,、,4
销营业执照；对直接负责的主管人员和其他直接责任人员处十万,；,0
元以上一百万元以下罚款，并可以决定禁止其在一定期限内担任,，,5
相关企业的董事、监事、高级管理人员和个人信息保护负责人。,、、。,2
第六十七条,,6
有本法规定的违法行为的，依照有关法律、行,，、,8
政法规的规定记入信用档案，并予以公示。,，。,8
— 18 —,—  —,10
第六十八条,,6
国家机关不履行本法规定的个人信息保护义,,0
务的，由其上级机关或者履行个人信息保护职责的部门责令改,，,5
正；对直接负责的主管人员和其他直接责任人员依法给予处分。,；。,8
履行个人信息保护职责的部门的工作人员玩忽职守、滥用职,、,4
权、徇私舞弊，尚不构成犯罪的，依法给予处分。,、，，。,2
第六十九条,,6
处理个人信息侵害个人信息权益造成损害，个,，,5
人信息处理者不能证明自己没有过错的，应当承担损害赔偿等侵,，,5
权责任。,。,1
前款规定的损害赔偿责任按照个人因此受到的损失或者个,,0
人信息处理者因此获得的利益确定;个人因此受到的损失和个人,;,0
信息处理者因此获得的利益难以确定的，根据实际情况确定赔偿,，,5
数额。,。,1
第七十条,,6
个人信息处理者违反本法规定处理个人信息，侵,，,5
害众多个人的权益的，人民检察院、法律规定的消费者组织和由,，、,8
国家网信部门确定的组织可以依法向人民法院提起诉讼。,。,1
第七十一条,,6
违反本法规定，构成违反治安管理行为的，依,，，,11
法给予治安管理处罚；构成犯罪的，依法追究刑事责任。,；，。,2
第八章,,6
附,,6
则,,6
第七十二条,,6
自然人因个人或者家庭事务处理个人信息的，,，,5
不适用本法。,。,1
法律对各级人民政府及其有关部门组织实施的统计、档案管,、,4
理活动中的个人信息处理有规定的，适用其规定。,，。,8
第七十三条,,6
本法下列用语的含义：,：,3
— 19 —,—  —,10
（一）个人信息处理者，是指在个人信息处理活动中自主决,（），,3
定处理目的、处理方式的组织、个人。,、、。,2
（二）自动化决策，是指通过计算机程序自动分析、评估个,（），、,3
人的行为习惯、兴趣爱好或者经济、健康、信用状况等，并进行,、、、，,2
决策的活动。,。,1
（三）去标识化，是指个人信息经过处理，使其在不借助额,（），，,3
外信息的情况下无法识别特定自然人的过程。,。,1
（四）匿名化，是指个人信息经过处理无法识别特定自然人,（），,3
且不能复原的过程。,。,1
第七十四条,,6
本法自 2021 年 11 月 1 日起施行。,      。,1
